,...1,Species,Colony,depth,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
174,174,Pocillopora,4,2,Samara3,20250203.02,02/03/2025,60085,900,-2,89.5,16.28,37.2,58.5,21.3,0.363,210,0.2,0.76,209,0.17,2514,0.07,380080,--------,-------,634,27300,1100,41.8,52.1,10.3,0.198,178.3,0,0.013,710,0.59,710,0.397,4397,--------,-------,2195,2176,455.6
175,175,Pocillopora,4,2,Samara3,20250203.02,02/03/2025,60094,900,-1.7,91.1,16.28,29.7,41.3,11.6,0.281,268.6,0.1,0.6,655,0.2,1360,0.2,125435,--------,-------,831,25896,1200,34.2,41.5,7.3,0.176,204.8,0,0.014,1183,0.629,1203,0.357,4926,--------,-------,2551,2531,392
176,176,Pocillopora,4,2,Samara3,20250203.02,02/03/2025,60127,900,-2.3,88.9,16.28,29.9,40.5,10.6,0.262,211.6,0.55,0.83,268,0.02,785,0.15,102003,--------,-------,277,15792,1200,37.5,45,7.5,0.167,301.9,0.06,0.619,222,0.063,224,0.318,5259,--------,-------,1931,1824,517.8
177,177,Pocillopora,4,2,Samara3,20250203.02,02/03/2025,60136,900,7.8,86.5,16.28,24.7,35.8,11,0.309,190,0.14,0.04,511,0.83,511,0.13,560947,--------,-------,511,73946,1200,29.1,37.2,8.1,0.218,268.8,0.42,0.651,194,0.341,3698,0.008,6808,--------,-------,1399,1439,714.9
178,178,Pocillopora,4,2,Samara3,20250203.02,02/03/2025,60156,900,-2.2,91.2,16.28,27.8,45.6,17.8,0.391,198.9,0.26,0.72,601,0.19,2630,0.1,126413,--------,-------,1021,13265,1200,41.9,51.8,9.9,0.191,223.1,0,0.51,924,0.051,927,0.439,7820,--------,-------,4115,3951,243
179,179,Pocillopora,4,2,Samara3,20250203.03,02/03/2025,60167,900,-2.4,91.2,16.27,25,38.4,13.5,0.35,157.2,0.43,0.74,485,0.06,518,0.2,42459,--------,-------,488,8798,1200,28.8,35.6,6.7,0.189,249.3,0.01,0.671,972,0,9397,0.329,10289,--------,-------,4037,4039,247.7
180,180,Porites,5,2,Samara3,20250203.03,02/03/2025,60348,900,-2.4,83.2,16.25,42.7,62.5,19.9,0.318,269.9,0.27,0.76,338,0.08,2024,0.15,1144903,--------,-------,501,176099,1000,55.7,73.3,17.6,0.241,170.3,0.13,0.636,347,0.015,349,0.349,3514,--------,-------,1469,1452,680.6
181,181,Porites,5,2,Samara3,20250203.03,02/03/2025,60357,900,10.8,84.7,16.24,76.4,129.1,52.7,0.408,255.5,0.18,0.73,376,0.16,2336,0.11,71503,--------,-------,735,8673,700,92.4,116.1,23.7,0.204,184.2,0.03,0.503,514,0.081,2212,0.416,7543,--------,-------,3696,3576,270.5
182,182,Porites,5,2,Samara3,20250203.03,02/03/2025,60366,900,-2.4,85.7,16.24,82,136.8,54.8,0.4,301.2,0.33,0.65,477,0.22,1594,0.13,109320,--------,-------,760,14664,700,135.6,165.9,30.3,0.183,214.2,0.27,0.423,479,0.063,7789,0.514,7808,--------,-------,4499,4708,222.3
183,183,Porites,5,2,Samara3,20250203.03,02/03/2025,60377,847.6,-2.3,90.5,16.25,107.1,211.1,104,0.493,357.7,0.19,0.72,388,0.17,2190,0.1,92575,--------,-------,737,10135,500,226.3,261.8,35.6,0.136,243.6,0,0.234,537,0.704,9356,0.062,9365,--------,-------,7158,7294,139.7
184,184,Porites,5,2,Samara3,20250203.03,02/03/2025,60385,900,-2.3,89.7,16.24,89.5,152.3,62.8,0.412,313.9,0.1,0.73,356,0.16,2446,0.11,163944,--------,-------,730,19180,600,136.8,168.5,31.7,0.188,210.7,0.04,0.455,622,0.48,7038,0.065,7053,--------,-------,3914,4120,255.5
185,185,Pocillopora,6,2,Samara3,20250203.03,02/03/2025,60548,900,-2,93,16.23,28.1,53.5,25.4,0.475,235.5,0.19,0.73,296,0.21,3399,0.06,509637,--------,-------,997,32438,1200,80.6,94,13.4,0.143,239.1,0,0.241,673,0.694,7489,0.065,7496,--------,-------,5734,5849,174.4
186,186,Pocillopora,6,2,Samara3,20250203.03,02/03/2025,60558,900,-2.1,93.3,16.22,37.6,61.5,23.9,0.389,207.6,0.33,0.69,435,0.16,1730,0.15,122547,--------,-------,682,19360,1100,57.3,73.5,16.2,0.221,162.8,0.1,0.521,265,0.41,4993,0.069,5009,--------,-------,2345,2529,426.4
187,187,Pocillopora,6,2,Samara3,20250203.03,02/03/2025,60567,900,-2.2,92.8,16.22,43.6,69.1,25.6,0.37,276.5,0.49,0.65,261,0.2,2307,0.15,100881,--------,-------,746,16041,1000,67.1,84.4,17.3,0.205,138.5,0.29,0.322,321,0.565,5560,0.113,5577,--------,-------,3658,3876,273.4
188,188,Pocillopora,6,2,Samara3,20250203.03,02/03/2025,60576,900,-2,92.4,16.22,49.1,69.6,20.5,0.294,273.8,0.39,0.7,263,0.15,1271,0.15,64019,--------,-------,435,9991,900,55.4,66.2,10.7,0.162,281.5,0,0.048,409,0.589,410,0.363,3190,--------,-------,1470,1419,680.1
189,189,Pocillopora,6,2,Samara3,20250203.04,02/03/2025,60587,900,-2,93,16.22,59,113.7,54.7,0.481,289.6,0.35,0.63,307,0.27,2709,0.1,110957,--------,-------,1025,11581,800,107.9,127.7,19.8,0.155,291.5,0.01,0.203,545,0.703,7542,0.094,7550,--------,-------,5973,6122,167.4
190,190,Pavona,7,2,Samara3,20250203.04,02/03/2025,60759,900,8.2,92.1,16.21,71.3,119.7,48.4,0.404,302.6,0.22,0.59,246,0.28,1258,0.14,58874,--------,-------,569,8574,700,118.6,134.9,16.3,0.121,188.2,0,0.156,554,0.803,11112,0.041,11122,--------,-------,9393,9464,106.5
191,191,Pavona,7,2,Samara3,20250203.04,02/03/2025,60767,900,9,93.4,16.2,54.2,62.3,8.1,0.13,252.3,0.38,0.57,492,0.13,7548,0.3,1144903,--------,-------,1819,342906,900,56.6,60.7,4.1,0.068,376.9,0.01,0.641,524,0.042,20556,0.317,20557,--------,-------,7159,7719,139.7
192,192,Pavona,7,2,Samara3,20250203.04,02/03/2025,60777,900,9.4,93.2,16.2,64.9,87.7,22.8,0.26,293.6,0.3,0.63,316,0.21,2608,0.16,1144903,--------,-------,880,182788,800,84.4,95.9,11.5,0.12,169.1,0,0.44,1830,0.043,10799,0.517,10807,--------,-------,6683,6860,149.6
193,193,Pavona,7,2,Samara3,20250203.04,02/03/2025,60791,900,9.8,92.9,16.2,64,98.7,34.6,0.351,276.8,0,0.7,468,0.14,1836,0.16,98305,--------,-------,694,15986,800,97.9,114.1,16.2,0.142,144.2,0.15,0.291,953,0.035,10557,0.674,10572,--------,-------,7672,7774,130.3
194,194,Pavona,7,2,Samara3,20250203.04,02/03/2025,60800,900,-1.8,93.3,16.19,86.2,151.5,65.3,0.431,365.6,0.16,0.76,427,0.12,2554,0.12,63753,--------,-------,709,8243,600,181.5,207.1,25.6,0.124,199,0,0.161,646,0.062,9903,0.777,9908,--------,-------,8315,8414,120.3
195,195,Pavona,7,2,Samara3,20250203.04,02/03/2025,60809,900,-1.6,93.1,16.2,50,62,12,0.194,317.1,0.32,0.51,326,0.33,1869,0.17,555440,--------,-------,931,93311,900,60.7,70.2,9.6,0.137,162.3,0.52,0.366,586,0.062,12183,0.572,12187,--------,-------,7656,7936,130.6
196,196,Pavona,7,2,Samara3,20250203.04,02/03/2025,60820,900,-1.2,92.3,16.19,85.5,141.5,56,0.396,332.8,0.21,0.62,449,0.24,1395,0.13,91302,--------,-------,712,12909,700,155.2,178.5,23.2,0.13,291.2,0,0.165,542,0.077,9844,0.758,9844,--------,-------,8186,8313,122.2
197,197,Pavona,7,2,Samara3,20250203.04,02/03/2025,60831,900,-1.7,92.6,16.2,50.4,61.9,11.5,0.186,276.9,0.48,0.54,363,0.28,6741,0.18,256042,--------,-------,2542,48723,900,58,64.4,6.5,0.1,192,0,0.056,1071,0.485,1078,0.458,8725,--------,-------,4793,4584,208.6
198,198,Porites,8,2,Samara3,20250203.04,02/03/2025,61681,900,-2.1,92.6,16.04,58.3,91.9,33.6,0.366,337.5,0.24,0.74,187,0.15,1366,0.12,67161,--------,-------,384,8082,800,63.1,78.7,15.6,0.198,247.2,0,0.577,359,0.067,369,0.356,6136,--------,-------,2564,2417,390
199,199,Porites,8,2,Samara3,20250203.05,02/03/2025,61689,900,-2,92.1,16.03,61.2,90.2,28.9,0.321,327.7,0.25,0.71,528,0.15,10912,0.14,471373,--------,-------,2331,70188,800,70,82.8,12.8,0.154,211.1,0.62,0.463,213,0.482,6797,0.055,8085,--------,-------,3573,3821,279.9
200,200,Porites,8,2,Samara3,20250203.05,02/03/2025,61698,900,-2.1,92.6,16.03,51.3,72.3,21,0.291,297.9,0.43,0.61,196,0.21,1759,0.18,76797,--------,-------,604,14344,900,64.7,78.7,14,0.178,229.4,0,0.155,288,0.483,1349,0.362,5544,--------,-------,3146,2703,317.9
201,201,Porites,8,2,Samara3,20250203.05,02/03/2025,61709,900,-2.1,92.6,16.03,91.6,168.9,77.3,0.458,486.4,0.32,0.78,352,0.13,4685,0.1,293578,--------,-------,954,28880,600,219,254.3,35.3,0.139,228.8,0,0.174,654,0.772,9077,0.053,9086,--------,-------,7526,7610,132.9
202,202,Porites,8,2,Samara3,20250203.05,02/03/2025,61725,900,-2,91.3,16.02,102.3,189.7,87.3,0.46,504.4,0.26,0.72,284,0.19,1801,0.1,131645,--------,-------,602,13079,600,195.1,227.6,32.5,0.143,254.2,0,0.207,687,0.721,8242,0.073,8270,--------,-------,6558,6683,152.5
203,203,Porites,8,2,Samara3,20250203.05,02/03/2025,61733,900,-2,92.2,16.02,46.1,59,12.8,0.218,216.1,0.42,0.6,195,0.17,1840,0.23,110441,--------,-------,562,25699,1000,52.5,62.8,10.3,0.164,220.2,0,0.098,1782,0.566,1782,0.336,16675,--------,-------,7330,6788,136.4
204,204,Porites,8,2,Samara3,20250203.05,02/03/2025,61747,900,-2.1,91.6,16.02,51.2,67.2,15.9,0.237,250.7,0.16,0.7,326,0.17,5284,0.12,390523,--------,-------,1299,49650,900,60.4,71,10.6,0.15,201.1,0.03,0.644,288,0.097,288,0.259,5721,--------,-------,1847,1696,541.4
205,205,Porites,9,2,Samara3,20250203.05,02/03/2025,62003,900,-1.7,92,15.96,57.2,87.9,30.7,0.349,257.1,0.24,0.74,376,0.12,3878,0.14,311166,--------,-------,880,43984,800,70,87.6,17.6,0.201,234.9,0.36,0.067,930,0.542,941,0.391,10203,--------,-------,4821,4560,207.4
206,206,Porites,9,2,Samara3,20250203.05,02/03/2025,62010,900,-1.7,92.3,15.96,56.2,86.8,30.5,0.352,263.7,0.3,0.74,450,0.07,466,0.19,75915,--------,-------,452,14961,800,60.9,75.8,14.9,0.196,205.7,0,0.017,748,0.676,760,0.308,6330,--------,-------,2504,2475,399.4
207,207,Porites,9,2,Samara3,20250203.05,02/03/2025,62019,900,-1.7,94.1,15.96,48.8,69.9,21,0.301,277.2,0.43,0.64,298,0.22,3712,0.14,427610,--------,-------,1164,62782,900,56.6,71.5,15,0.209,156,0.03,0.754,796,0.194,11021,0.052,11028,--------,-------,2893,3315,345.7
209,209,Porites,9,2,Samara3,20250203.06,02/03/2025,62052,900,-1.6,92.7,15.94,64.9,102.9,38,0.369,288.5,0.26,0.62,262,0.24,1681,0.14,235266,--------,-------,658,34190,800,85.8,106.9,21.2,0.198,224.2,0.28,0.325,199,0.322,1101,0.353,7000,--------,-------,4188,2890,238.8
210,210,Porites,10,2,Samara3,20250203.06,02/03/2025,62594,900,-0.9,93.9,15.81,83.9,163.7,79.9,0.488,395.9,0.26,0.77,337,0.12,3984,0.11,182937,--------,-------,814,21233,700,181.6,211.8,30.2,0.142,197.7,0,0.211,648,0.717,10065,0.071,10071,--------,-------,7922,8075,126.2
211,211,Porites,10,2,Samara3,20250203.06,02/03/2025,62602,900,-0.9,94.1,15.82,92.2,182.3,90.1,0.494,368.2,0.17,0.61,207,0.27,1122,0.12,110408,--------,-------,484,13594,600,200.2,233.8,33.6,0.144,193.2,0,0.23,473,0.711,9545,0.059,9553,--------,-------,7330,7462,136.4
212,212,Porites,10,2,Samara3,20250203.06,02/03/2025,62610,900,-0.9,94.2,15.81,73.8,142.2,68.4,0.481,357.7,0.36,0.63,185,0.27,1379,0.1,138482,--------,-------,544,15023,700,157.6,184.5,26.9,0.146,210.6,0.01,0.252,616,0.702,11964,0.046,11965,--------,-------,8963,9100,111.6
213,213,Porites,10,2,Samara3,20250203.06,02/03/2025,62619,900,8.7,94.2,15.81,78.5,150.9,72.4,0.48,348.2,0.18,0.79,329,0.12,4147,0.09,238563,--------,-------,821,21782,700,170.3,202.5,32.1,0.159,241.8,0,0.246,593,0.69,8289,0.064,8293,--------,-------,6264,6394,159.6
214,214,Porites,10,2,Samara3,20250203.06,02/03/2025,62628,836.8,10.1,94.1,15.81,86.4,167.2,80.9,0.484,369.2,0.25,0.72,356,0.14,2369,0.14,93356,--------,-------,691,13640,700,198.5,228.8,30.2,0.132,231.8,0,0.197,346,0.752,11274,0.051,11278,--------,-------,9011,9126,111
215,215,Porites,11,2,Samara3,20250203.06,02/03/2025,62874,900,-0.6,91.5,15.75,69.7,120.4,50.8,0.422,407.9,0.2,0.65,292,0.25,2171,0.1,503420,--------,-------,809,50647,700,154.3,180.7,26.4,0.146,257.8,0,0.235,1009,0.668,7929,0.097,7969,--------,-------,6124,6303,163.3
216,216,Porites,11,2,Samara3,20250203.06,02/03/2025,62892,900,-0.5,92.4,15.75,64.9,103.5,38.7,0.373,335.9,0.21,0.62,331,0.21,1208,0.17,49312,--------,-------,554,8832,800,71.7,88.5,16.9,0.19,181.7,0,0.485,356,0.45,5608,0.066,5632,--------,-------,2884,3064,346.7
217,217,Porites,11,2,Samara3,20250203.06,02/03/2025,62900,900,-0.6,92.5,15.74,66.8,120,53.2,0.443,362.5,0.18,0.6,175,0.29,947,0.11,125169,--------,-------,424,14238,800,155.8,184,28.2,0.153,246.2,0,0.261,741,0.688,8873,0.051,8894,--------,-------,6637,6751,150.7
218,218,Porites,11,2,Samara3,20250203.06,02/03/2025,62909,900,-0.5,93.3,15.74,40.7,53,12.2,0.231,209,0.1,0.7,439,0.09,10652,0.21,1144903,--------,-------,1546,241440,1000,42.8,48.7,5.8,0.12,251.3,0,0.541,1289,0.366,1375,0.093,26574,--------,-------,1324,3664,755.3
219,219,Porites,11,2,Samara3,20250203.07,02/03/2025,62941,900,8.4,94.1,15.74,46.3,65.9,19.6,0.297,290.1,0.29,0.67,224,0.21,2147,0.12,803219,--------,-------,681,92977,900,62.5,74.6,12.1,0.162,224.4,0,0.401,567,0.125,569,0.474,6407,--------,-------,3732,3337,268
220,220,Porites,11,2,Samara3,20250203.07,02/03/2025,62949,900,-0.5,94.3,15.73,65.2,103.3,38.1,0.369,321.8,0.18,0.72,307,0.18,2622,0.11,86259,--------,-------,762,9768,700,127.2,152.8,25.5,0.167,237.9,0,0.401,986,0.066,9344,0.533,9432,--------,-------,5805,6040,172.3
221,221,Pavona,1,14,Samara4,20250204,02/04/2025,67208,694.9,19.6,54.2,16.61,89.7,169,79.2,0.469,368.8,0.16,0.8,523,0.13,4530,0.07,215536,--------,-------,1087,16534,500,194,221.1,27.1,0.123,287.3,0,0.192,751,0.728,11521,0.08,11537,--------,-------,9271,9451,107.9
222,222,Pavona,1,14,Samara4,20250204,02/04/2025,67217,778.3,21.9,53.5,16.6,88.7,156.4,67.7,0.433,364.7,0.24,0.71,355,0.21,2002,0.08,71562,--------,-------,731,6303,600,153.9,174.4,20.5,0.118,285.3,0.01,0.172,818,0.752,10956,0.076,10974,--------,-------,9068,9213,110.3
223,223,Pavona,1,14,Samara4,20250204,02/04/2025,67226,802.3,17.4,54.7,16.59,96.7,163.7,67,0.409,311.1,0.13,0.63,467,0.26,2234,0.11,59829,--------,-------,988,7219,600,162.7,188.3,25.6,0.136,213.1,0,0.343,374,0.611,10395,0.046,10397,--------,-------,6794,6958,147.2
224,224,Pavona,1,14,Samara4,20250204,02/04/2025,67240,866,19.7,57.2,16.58,98.2,160.4,62.3,0.388,321.7,0.12,0.63,355,0.26,1687,0.11,89349,--------,-------,740,10595,600,133.1,150.7,17.6,0.117,309,0,0.241,792,0.697,10211,0.062,10221,--------,-------,7787,7938,128.4
225,225,Pavona,1,14,Samara4,20250204.01,02/04/2025,67251,900,20.1,60.3,16.58,95.5,154.4,58.9,0.381,340.4,0.21,0.53,470,0.35,1138,0.13,38232,--------,-------,736,5458,600,143.4,162.3,18.8,0.116,319.6,0.01,0.259,840,0.084,8854,0.658,8862,--------,-------,6598,6786,151.6
226,226,Porites,2,14,Samara4,20250204.01,02/04/2025,67313,900,9.8,66,16.55,57.5,96.2,38.8,0.403,267.8,0.12,0.71,263,0.21,1468,0.08,134716,--------,-------,539,11775,900,96.5,111.8,15.3,0.137,214.6,0,0.331,873,0.612,10378,0.058,10387,--------,-------,7043,7236,142
227,227,Porites,2,14,Samara4,20250204.01,02/04/2025,67321,900,8.8,66,16.54,55.7,94.8,39,0.412,305.7,0.31,0.76,436,0.13,5552,0.12,178601,--------,-------,1164,22081,900,99.9,116.9,16.9,0.145,190.6,0.34,0.194,431,0.042,10672,0.765,10701,--------,-------,8625,8711,115.9
228,228,Porites,2,14,Samara4,20250204.01,02/04/2025,67329,900,5.1,65.1,16.54,68.5,109.3,40.8,0.373,287.9,0.19,0.55,283,0.32,1177,0.13,66260,--------,-------,610,8817,800,96.7,112.4,15.7,0.14,229,0.07,0.384,520,0.563,9908,0.054,9910,--------,-------,6104,6308,163.8
229,229,Porites,2,14,Samara4,20250204.01,02/04/2025,67338,900,6.3,65.8,16.54,63.5,106.8,43.4,0.406,232.4,0.06,0.67,350,0.2,1415,0.13,64210,--------,-------,592,8971,800,93.2,106.6,13.4,0.126,323.6,0.01,0.382,738,0.068,10416,0.55,10420,--------,-------,6450,6720,155
230,230,Porites,2,14,Samara4,20250204.01,02/04/2025,67346,900,0.5,67.2,16.53,61.4,99.9,38.5,0.385,293.5,0.17,0.59,367,0.3,1476,0.11,86645,--------,-------,736,10348,800,97.5,113.3,15.8,0.139,163.1,0,0.331,356,0.614,8402,0.055,8411,--------,-------,5587,5743,179
231,231,Porites,3,14,Samara4,20250204.01,02/04/2025,67388,900,0.5,69.4,16.52,64.3,108.6,44.2,0.407,301.8,0.16,0.67,342,0.22,2181,0.11,100500,--------,-------,795,11723,800,106,124.3,18.3,0.147,175.5,0,0.271,590,0.678,8379,0.052,8381,--------,-------,6155,6270,162.5
232,232,Porites,3,14,Samara4,20250204.01,02/04/2025,67396,900,0.2,72.9,16.51,61.1,105,43.9,0.418,266.1,0.26,0.66,227,0.27,1611,0.07,105444,--------,-------,632,8195,800,105.3,121.6,16.3,0.134,296.5,0,0.26,797,0.683,9600,0.057,9637,--------,-------,7176,7318,139.3
233,233,Porites,3,14,Samara4,20250204.01,02/04/2025,67406,900,0.1,69.1,16.51,63.9,112.3,48.4,0.431,318.6,0.15,0.73,466,0.19,4554,0.08,462322,--------,-------,1325,36205,800,117.5,135.3,17.8,0.132,271.9,0.01,0.231,602,0.709,9451,0.06,9455,--------,-------,7273,7403,137.5
234,234,Porites,3,14,Samara4,20250204.01,02/04/2025,67414,900,0.2,70.8,16.51,72.9,121.7,48.8,0.401,339.1,0.18,0.77,436,0.13,3373,0.1,68649,--------,-------,863,7665,700,128.9,147.5,18.6,0.126,222.6,0,0.22,828,0.719,9720,0.061,9731,--------,-------,7635,7763,131
235,235,Porites,3,14,Samara4,20250204.02,02/04/2025,67422,900,0.1,70.6,16.5,59.9,94.9,35,0.369,297,0.11,0.57,374,0.31,1033,0.12,65393,--------,-------,603,8629,800,95.6,108.7,13.1,0.12,310.9,0.01,0.248,775,0.086,8726,0.666,8731,--------,-------,6573,6759,152.1
236,236,Porites,4,14,Samara4,20250204.02,02/04/2025,67460,900,0.1,72.1,16.49,58.5,93.2,34.6,0.372,268.5,0.03,0.82,377,0.09,6523,0.09,97056,--------,-------,1011,9542,900,87.1,100.9,13.8,0.137,186.7,0,0.252,1144,0.674,7860,0.074,7876,--------,-------,6033,6170,165.7
237,237,Porites,4,14,Samara4,20250204.02,02/04/2025,67468,900,0.1,70.4,16.49,60.1,103.8,43.6,0.421,277.1,0.1,0.77,398,0.17,4356,0.07,673297,--------,-------,1102,47075,800,100.2,115.5,15.3,0.132,291.3,0.01,0.231,691,0.707,9821,0.062,9869,--------,-------,7569,7712,132.1
238,238,Porites,4,14,Samara4,20250204.02,02/04/2025,67476,900,-0.1,78.3,16.48,48.7,73.5,24.8,0.338,195.9,0.2,0.75,530,0.14,6123,0.11,855508,--------,-------,1408,92710,900,66.6,77.5,10.9,0.14,161.4,0,0.237,631,0.082,7727,0.68,7747,--------,-------,5905,6055,169.3
239,239,Porites,4,14,Samara4,20250204.02,02/04/2025,67485,900,0.1,78.9,16.48,55.3,90.2,35,0.388,249,0.22,0.52,199,0.37,1105,0.1,82898,--------,-------,577,9159,900,85.7,97.9,12.3,0.125,279.4,0.01,0.309,903,0.63,10639,0.061,10651,--------,-------,7432,7628,134.6
240,240,Porites,4,14,Samara4,20250204.02,02/04/2025,67494,900,0.2,80.9,16.47,65.5,100.9,35.5,0.351,284.7,0.35,0.5,612,0.37,1856,0.13,76866,--------,-------,1147,10999,800,92.3,107.1,14.8,0.138,163.1,0,0.303,796,0.051,9708,0.646,9717,--------,-------,6869,7015,145.6
241,241,Porites,5,14,Samara4,20250204.02,02/04/2025,67535,900,0.3,75.6,16.47,62.1,98,35.9,0.366,267.5,0.18,0.73,377,0.19,3065,0.09,901055,--------,-------,928,79709,800,93.7,109.1,15.3,0.141,204.4,0,0.345,574,0.604,9467,0.052,9479,--------,-------,6236,6403,160.4
242,242,Porites,5,14,Samara4,20250204.02,02/04/2025,67542,900,0.3,76,16.46,52.7,80.4,27.7,0.345,286.2,0.33,0.68,387,0.19,1864,0.13,67438,--------,-------,714,9435,900,93.9,108.2,14.3,0.132,218.4,0.49,0.247,429,0.74,12380,0.012,12758,--------,-------,9386,9428,106.5
243,243,Porites,5,14,Samara4,20250204.02,02/04/2025,67550,900,0.2,78.7,16.46,57.6,88.8,31.3,0.352,271.5,0.19,0.55,343,0.29,1153,0.16,41140,--------,-------,618,7056,900,85.3,99.9,14.6,0.146,204.8,0.3,0.308,235,0.629,7817,0.063,7831,--------,-------,5328,5486,187.7
244,244,Porites,5,14,Samara4,20250204.02,02/04/2025,67560,900,0.2,78,16.45,54.9,88.7,33.8,0.381,246.9,0.31,0.55,257,0.3,1528,0.15,72759,--------,-------,702,11454,900,73.7,87.6,13.9,0.159,146.8,0.27,0.308,699,0.636,9004,0.056,9008,--------,-------,6293,6446,158.9
245,245,Porites,5,14,Samara4,20250204.03,02/04/2025,67568,900,0.2,82.1,16.45,67.7,106.6,38.9,0.365,272.9,0.25,0.64,320,0.24,2310,0.11,89289,--------,-------,869,10824,800,97.2,116.2,19,0.164,151.8,0,0.393,561,0.559,9218,0.049,9221,--------,-------,5646,5820,177.1
246,246,Porites,6,14,Samara4,20250204.03,02/04/2025,67595,900,0,82.1,16.44,66.9,109.5,42.6,0.389,290.8,0.05,0.75,411,0.13,2796,0.12,105649,--------,-------,771,13504,800,96.6,116.6,20,0.172,157.5,0.15,0.38,517,0.059,8800,0.561,8811,--------,-------,5464,5660,183
247,247,Porites,6,14,Samara4,20250204.03,02/04/2025,67603,900,0,84.9,16.44,67.9,115.3,47.4,0.411,257.4,0.11,0.7,278,0.19,1872,0.11,87593,--------,-------,618,10246,800,97.8,116.9,19.1,0.163,168.8,0,0.368,526,0.549,7181,0.083,7188,--------,-------,4511,4733,221.7
248,248,Porites,6,14,Samara4,20250204.03,02/04/2025,67612,900,0,81.9,16.43,64.8,104.9,40.1,0.383,273,0.17,0.5,330,0.35,1071,0.14,63739,--------,-------,635,9591,800,97.2,113.4,16.2,0.143,189.5,0,0.401,1046,0.541,9550,0.058,9579,--------,-------,5932,6143,168.6
249,249,Porites,6,14,Samara4,20250204.03,02/04/2025,67621,900,-0.1,81.8,16.44,67.7,106.1,38.4,0.362,326.5,0.32,0.69,274,0.22,2512,0.09,86876,--------,-------,820,8504,800,107.3,125.9,18.6,0.148,162.9,0.16,0.317,1007,0.05,9144,0.632,9228,--------,-------,6480,6614,154.3
250,250,Porites,6,14,Samara4,20250204.03,02/04/2025,67629,900,-0.1,81.6,16.43,65.6,108.9,43.3,0.398,283.2,0.34,0.62,246,0.28,2004,0.09,180258,--------,-------,795,17310,800,102.4,120.9,18.5,0.153,168.4,0,0.308,730,0.068,7649,0.624,7654,--------,-------,5368,5524,186.3
251,251,Psammocora stellata,7,14,Samara4,20250204.03,02/04/2025,67973,900,12,86.5,16.34,58.1,104.1,46,0.442,317.7,0.2,0.49,467,0.38,803,0.12,44367,--------,-------,614,5989,800,117,135.6,18.6,0.137,189.8,0,0.284,724,0.06,10241,0.657,10241,--------,-------,7369,7540,135.7
252,252,Psammocora stellata,7,14,Samara4,20250204.03,02/04/2025,67982,900,12.5,84.1,16.34,54.9,84.8,29.9,0.352,266.8,0.34,0.63,390,0.26,1826,0.11,190369,--------,-------,803,22382,900,79.8,99,19.2,0.194,165.6,0.02,0.206,232,0.39,848,0.404,7596,--------,-------,4280,3444,233.7
253,253,Psammocora stellata,7,14,Samara4,20250204.03,02/04/2025,67992,900,11.1,84.1,16.34,60.8,97.6,36.8,0.377,318.5,0.24,0.57,343,0.3,1042,0.14,62586,--------,-------,584,8973,800,87.3,106.3,19,0.179,197.9,0.06,0.443,608,0.075,6772,0.482,6776,--------,-------,3822,4044,261.7
254,254,Psammocora stellata,7,14,Samara4,20250204.03,02/04/2025,68002,900,11.3,84.7,16.33,48.8,90.2,41.4,0.459,224.2,0.07,0.77,424,0.15,5926,0.08,436106,--------,-------,1330,35617,900,76.8,97.2,20.4,0.21,158.6,0.25,0.393,397,0.073,7144,0.534,7148,--------,-------,4288,4496,233.2
255,255,Psammocora stellata,7,14,Samara4,20250204.04,02/04/2025,68012,900,11.5,81.8,16.33,62.5,123,60.6,0.492,287.7,0.01,0.68,337,0.22,1732,0.1,80992,--------,-------,678,8760,800,128.3,146.5,18.2,0.125,300.9,0.01,0.197,713,0.733,10298,0.07,10331,--------,-------,8263,8407,121
256,256,Pocillopora,1,11,Papagayo1,20250206,02/06/2025,53727,680,7.1,49.8,16.64,50.4,108.9,58.5,0.537,310.5,0.1,0.75,359,0.16,2325,0.09,75846,--------,-------,712,7105,800,125.6,142.6,17,0.119,224.7,0.01,0.12,713,0.81,10351,0.071,10361,--------,-------,9110,9198,109.8
257,257,Pocillopora,1,11,Papagayo1,20250206,02/06/2025,53736,695.5,7.2,47.8,16.63,51.5,108,56.5,0.523,323,0.14,0.72,433,0.19,2249,0.09,82086,--------,-------,811,8392,900,125.2,143.7,18.5,0.129,169.9,0,0.154,593,0.048,11449,0.798,11451,--------,-------,9691,9775,103.2
258,258,Pocillopora,1,11,Papagayo1,20250206,02/06/2025,53745,807.6,7.3,50.1,16.63,53.1,110.4,57.3,0.519,354.7,0.25,0.68,206,0.25,1592,0.07,62398,--------,-------,573,4812,900,133.2,151.1,17.9,0.119,218.9,0.01,0.135,893,0.057,8746,0.808,8752,--------,-------,7628,7691,131.1
